Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
EM	EM_Q100	0.2	pMCSKY	34018.68	109.0	100.0	2	2	gaussian(8)
EM	EM_Q100	0.2	MDUAL	3015.89	7.0	10.0	2	2	gaussian(8)
TAO	TAO_Q100	0.2	SOP	5261.59	123.0	129.0	97	1070	gaussian(8)
TAO	TAO_Q100	0.2	pMCSKY	2479.21	38.0	33.0	97	1070	gaussian(8)
TAO	TAO_Q100	0.2	MDUAL	44.70	3.0	10.0	97	1070	gaussian(8)
HPC	HPC_Q100	0.2	SOP	1765.30	98.0	104.0	0	0	gaussian(8)
HPC	HPC_Q100	0.2	pMCSKY	262.16	31.0	20.0	0	0	gaussian(8)
HPC	HPC_Q100	0.2	MDUAL	5.84	4.0	9.0	0	0	gaussian(8)
FC	FC_Q100	0.2	SOP	2185.53	108.0	129.0	0	0	gaussian(8)
FC	FC_Q100	0.2	pMCSKY	444.34	36.0	31.0	0	0	gaussian(8)
FC	FC_Q100	0.2	MDUAL	349.13	14.0	19.0	0	0	gaussian(8)
gaussian(8)
STK	STK_Q100	0.2	SOP	3357.91	116.0	123.0	9	316	gaussian(8)
STK	STK_Q100	0.2	pMCSKY	438.85	30.0	27.0	9	316	gaussian(8)
STK	STK_Q100	0.2	MDUAL	17.20	3.0	8.0	9	316	gaussian(8)
GAS	GAS_Q100	0.2	SOP	6350.03	108.0	152.0	0	0	gaussian(8)
GAS	GAS_Q100	0.2	pMCSKY	5567.06	38.0	29.0	0	0	gaussian(8)
GAS	GAS_Q100	0.2	MDUAL	13.26	4.0	8.0	0	0	gaussian(8)
EM	EM_Q100	0.2	SOP	38707.88	341.0	345.0	0	0	gaussian(8)
EM	EM_Q100	0.2	pMCSKY	31661.58	112.0	110.0	0	0	gaussian(8)
EM	EM_Q100	0.2	MDUAL	2237.01	7.0	10.0	0	0	gaussian(8)
TAO	TAO_Q100	0.2	SOP	5316.25	119.0	129.0	97	1343	gaussian(8)
TAO	TAO_Q100	0.2	pMCSKY	2454.59	37.0	33.0	97	1343	gaussian(8)
TAO	TAO_Q100	0.2	MDUAL	50.12	3.0	10.0	97	1343	gaussian(8)
HPC	HPC_Q100	0.2	SOP	1657.21	98.0	105.0	0	0	gaussian(8)
HPC	HPC_Q100	0.2	pMCSKY	231.62	30.0	29.0	0	0	gaussian(8)
HPC	HPC_Q100	0.2	MDUAL	6.85	4.0	10.0	0	0	gaussian(8)
FC	FC_Q100	0.2	SOP	2625.24	110.0	126.0	0	0	gaussian(8)
FC	FC_Q100	0.2	pMCSKY	598.42	36.0	18.0	0	0	gaussian(8)
FC	FC_Q100	0.2	MDUAL	447.24	14.0	17.0	0	0	gaussian(8)
gaussian(8)
STK	STK_Q100	0.2	SOP	3582.64	115.0	126.0	8	352	gaussian(8)
STK	STK_Q100	0.2	pMCSKY	432.83	31.0	24.0	8	352	gaussian(8)
STK	STK_Q100	0.2	MDUAL	14.21	3.0	8.0	8	352	gaussian(8)
GAS	GAS_Q100	0.2	SOP	9295.51	120.0	128.0	4	4	gaussian(8)
GAS	GAS_Q100	0.2	pMCSKY	8506.13	46.0	51.0	4	4	gaussian(8)
GAS	GAS_Q100	0.2	MDUAL	28.13	4.0	8.0	4	4	gaussian(8)
EM	EM_Q100	0.2	SOP	39695.03	331.0	336.0	2	2	gaussian(8)
EM	EM_Q100	0.2	pMCSKY	28399.96	82.0	82.0	2	2	gaussian(8)
EM	EM_Q100	0.2	MDUAL	1389.32	7.0	11.0	2	2	gaussian(8)
TAO	TAO_Q100	0.2	SOP	4908.06	121.0	137.0	94	1029	gaussian(8)
TAO	TAO_Q100	0.2	pMCSKY	2365.24	38.0	33.0	94	1029	gaussian(8)
TAO	TAO_Q100	0.2	MDUAL	39.40	3.0	10.0	94	1029	gaussian(8)
HPC	HPC_Q100	0.2	SOP	1702.65	98.0	104.0	0	0	gaussian(8)
HPC	HPC_Q100	0.2	pMCSKY	257.52	31.0	21.0	0	0	gaussian(8)
HPC	HPC_Q100	0.2	MDUAL	6.48	4.0	9.0	0	0	gaussian(8)
FC	FC_Q100	0.2	SOP	2476.20	110.0	129.0	0	0	gaussian(8)
FC	FC_Q100	0.2	pMCSKY	605.03	36.0	22.0	0	0	gaussian(8)
FC	FC_Q100	0.2	MDUAL	449.99	14.0	18.0	0	0	gaussian(8)
gaussian(8)
