Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
STK	STK_Q100	0.2	SOP	50246.03	657.0	662.0	121	981	uniform(20)
STK	STK_Q100	0.2	pMCSKY	51464.90	533.0	538.0	121	981	uniform(20)
STK	STK_Q100	0.2	MDUAL	96.15	8.0	17.0	121	981	uniform(20)
uniform(20)
STK	STK_Q100	0.2	SOP	49383.48	663.0	674.0	216	1139	uniform(20)
STK	STK_Q100	0.2	pMCSKY	48953.80	512.0	516.0	216	1139	uniform(20)
STK	STK_Q100	0.2	MDUAL	229.49	8.0	14.0	216	1139	uniform(20)
uniform(20)
STK	STK_Q100	0.2	SOP	45084.82	622.0	661.0	58	653	uniform(20)
STK	STK_Q100	0.2	pMCSKY	46140.50	498.0	503.0	58	653	uniform(20)
STK	STK_Q100	0.2	MDUAL	58.56	8.0	14.0	58	653	uniform(20)
uniform(20)
HPC	HPC_Q100	0.2	SOP	26352.99	423.0	476.0	356	578	uniform(20)
HPC	HPC_Q100	0.2	pMCSKY	16262.24	164.0	168.0	356	578	uniform(20)
HPC	HPC_Q100	0.2	MDUAL	822.84	19.0	28.0	356	578	uniform(20)
uniform(20)
HPC	HPC_Q100	0.2	SOP	31088.28	423.0	494.0	311	723	uniform(20)
HPC	HPC_Q100	0.2	pMCSKY	21525.16	201.0	205.0	311	723	uniform(20)
HPC	HPC_Q100	0.2	MDUAL	1247.59	26.0	31.0	311	723	uniform(20)
uniform(20)
HPC	HPC_Q100	0.2	SOP	26532.39	414.0	498.0	352	516	uniform(20)
HPC	HPC_Q100	0.2	pMCSKY	18616.56	185.0	190.0	352	516	uniform(20)
HPC	HPC_Q100	0.2	MDUAL	1090.65	25.0	30.0	352	516	uniform(20)
uniform(20)
HPC	HPC_Q100	0.2	SOP	29262.72	426.0	517.0	357	512	uniform(20)
HPC	HPC_Q100	0.2	pMCSKY	28933.57	301.0	306.0	357	512	uniform(20)
HPC	HPC_Q100	0.2	MDUAL	1130.42	28.0	33.0	357	512	uniform(20)
uniform(20)
HPC	HPC_Q100	0.2	SOP	28341.80	429.0	524.0	220	640	uniform(20)
HPC	HPC_Q100	0.2	pMCSKY	27893.82	303.0	307.0	220	640	uniform(20)
HPC	HPC_Q100	0.2	MDUAL	1444.11	26.0	31.0	220	640	uniform(20)
uniform(20)
FC	FC_Q100	0.2	SOP	155210.89	900.0	939.0	642	1052	uniform(20)
FC	FC_Q100	0.2	pMCSKY	155662.57	788.0	792.0	642	1052	uniform(20)
FC	FC_Q100	0.2	MDUAL	24971.16	41.0	48.0	642	1052	uniform(20)
uniform(20)
GAS	GAS_Q100	0.2	SOP	148776.69	874.0	1097.0	233	383	uniform(20)
GAS	GAS_Q100	0.2	pMCSKY	142012.96	759.0	759.0	233	383	uniform(20)
GAS	GAS_Q100	0.2	MDUAL	2218.06	40.0	75.0	233	383	uniform(20)
uniform(20)
GAS	GAS_Q100	0.2	SOP	155641.48	904.0	1105.0	388	534	uniform(20)
GAS	GAS_Q100	0.2	pMCSKY	154518.64	788.0	1005.0	388	534	uniform(20)
GAS	GAS_Q100	0.2	MDUAL	2053.43	80.0	90.0	388	534	uniform(20)
